Topic,Count,Name,Representation,Representative_Docs
63,91,63_democracy_overwhelmed_resistance_refresh,"['democracy', 'overwhelmed', 'resistance', 'refresh', 'responsible', 'offensive', 'back', 'resist', 'offtopic', 'inappropriate']","[""Democracy Democracies \nConstitution \nBluesky Social Feed. \n \nIf this Feed is Overwhelmed and Refresh doesn't work, Check Back Later and Enjoy my Other Feeds.\n\nNon-Endorsing Curation.\nNot Responsible for Offensive, Off-Topic or InAppropriate Content."", 'Elections \nBluesky Social Feed. \n\nCheck out my Voting Rights Feed.\n \nIf this Feed is Overwhelmed and Refresh does not work, Check Back Later and Enjoy one of my Other Feeds. \n \nNonEndorsing Curation. \nNot Responsible for Off-Topic or Offensive Content.', ""USA Politics\nConstituents Resistance\nBluesky Social Feed.\n\nCheckout my Other Protests Feed.\n\nIf this Feed is Overwhelmed & Refresh Doesn't Work, Check Back Later. \n \nNon-Endorsing Curation.\nNot Responsible for Offensive, Off-Topic or InAppropriate Content.""]"
64,89,64_witchsky_tarotsky_splatoon_witchcraft,"['witchsky', 'tarotsky', 'splatoon', 'witchcraft', 'occultsky', 'witchy', 'witches', 'pagansky', 'spiritsky', 'esotericsky']","['Welcome to #WitchSky, for posts related to witchcraft, occultism, paganism, spirituality, etc.\nUse /witchsky, #witchsky, #occultsky, #spiritsky, #esotericsky or #pagansky for your post to be added! (See the #TarotSky feed for all things tarot!)', 'witchcraft, occultism, paganism, spirituality, etc.\nUse /witchsky, #witchsky, #occultsky, #spiritsky, #esotericsky or #pagansky, /tarotsky or #tarotsky for your post to be added!', 'WitchSky & TarotSky image posts that have alt text. Uses /witchsky, #witchsky, /tarotsky, #tarotsky, #occultsky, #spiritsky, #esotericsky, #pagansky.']"
65,88,65_chemistry_proteomics_rna_psychology,"['chemistry', 'proteomics', 'rna', 'psychology', 'genomics', 'biology', 'royal', 'nanopore', 'chemical', 'transplant']","['A feed for posts about work published in Royal Society of Chemistry journals and posts from the journal accounts, the RSC and Chemistry World.\n\nBlueskyFeedCreator.com', 'This feed covers work published in general chemistry journals at the Royal Society of Chemistry. Focused on Chemical Science, ChemComm, Chem Soc Rev, New Journal of Chemistry, and RSC Advances.\n\nBlueskyFeedCreator.com', 'This feed captures the posting of Green Chemistry papers, relevant announcements and other material related to the Royal Society of Chemistry journal. #GreenChemistry\n\nBlueskyFeedCreator.com']"
66,88,66_cinema_film_movie_movies,"['cinema', 'film', 'movie', 'movies', 'filmsky', 'films', 'trailers', 'actor', 'bridgerton', 'filmmaking']","['For all things related to On Cinema at the Cinema universe.\r\n\r\nUse OCATC, On Cinema at the Cinema, On Cinema, Gregg Turkington, HEI network, Greggheads, Timheads, G Amato, Joey Patron, in your post to be included.', ""A better movies feed for film lovers! Filmsky posts, movie news & reviews, trailers, Letterboxd chatter — it’s all here.\r\n\r\nTo publish to it use the film projector emoji 📽️\r\n\r\nDon't forget to ❤️ this feed!"", 'A feed of everything movie, cinema and film related (in English)']"
67,88,67_tab_media_makeshift_until,"['tab', 'media', 'makeshift', 'until', 'cluttered', 'art', 'my', 'ive', 'basically', 'uploaded']","[""Nightdragon's Media Tab"", 'a media tab for my posts!', 'My Art Media Tab']"
68,86,68_drawings_me_art_arts,"['drawings', 'me', 'art', 'arts', 'drawn', 'finished', 'only', 'drew', 'da', 'put']","['Art by me', 'Art by me!!', 'Art by me!']"
69,85,69_artists_fountain_pen_whose,"['artists', 'fountain', 'pen', 'whose', 'illustrators', 'shader', 'ink', 'fountainpenink', 'hlsl', 'bishoujo']","['Artists, images only', 'artists i follow', 'artists']"
70,81,70_photography_photographers_divcreativocom_coloring,"['photography', 'photographers', 'divcreativocom', 'coloring', 'bluesky', 'artbooks', 'dye', 'lomography', 'featured', 'photographer']","['Natural dye community on Bluesky. Natural dye growers, craftspeople using natural dyes as a hobby or professionally (as fibre dyes or visual art materials, such as ink or paint), and natural dye educators.', 'A springboard for all professional and amateur photographers on Bluesky. The feed includes digital photography, Polaroids, black & white, 35mm, pinhole, analogue. To be featured tag your image with #photography, or any other relevant hashtag.', 'A feed of all the photography I post to my own Bluesky feed.']"
71,80,71_commissions_commission_done_info,"['commissions', 'commission', 'done', 'info', 'ychs', 'open', 'ive', 'openings', 'prices', 'examples']","[""Here's where you'll find my commission info and all the commissions I have done. 🩷💕✨️"", 'Posts with commissions', 'All my Commissions!']"
72,79,72_japan_japanese_period_samurai,"['japan', 'japanese', 'period', 'samurai', 'shogunate', 'dan', 'touhou', '14th', 'en', 'late']","['Posts about Japan in non-Japanese language.', 'japan related stuff', 'Posts mentioning on Japan or Japanese people.']"
73,79,73_reposts_replies_without_repost,"['reposts', 'replies', 'without', 'repost', 'no', 'does', 'bedescarlets', 'miss', 'only', 'reposted']","['Posts, without reposts or replies :3', ""BedeScarlet's posts, without replies or reposts."", ""BedeScarlet's Posts and Replies, without reposts.""]"
74,79,74_furry_furrylist_furries_furryart,"['furry', 'furrylist', 'furries', 'furryart', 'following', 'join', 'rubber', 'fursuit', 'hyper', 'arminwolfat']","['Furry\nPosts by furries with #fursuit.\n\nJoin the furry feeds by following @furryli.st', 'Furry\nPosts by furries with #furryart. Contains a mix of SFW and NSFW content.\n\nJoin the furry feeds by following @furryli.st', 'Furry\nPosts by furries with #furryart and marked NSFW.\n\nJoin the furry feeds by following @furryli.st']"
75,79,75_canadian_canada_saskatchewan_calgary,"['canadian', 'canada', 'saskatchewan', 'calgary', 'ontario', 'alberta', 'housing', 'politics', 'mdias', 'kerhaamorbskysocial']","['Popular hashtag for posts related to politics in Ontario, Canada', 'Popular hashtag for posts related to politics in Toronto, Ontario, Canada', 'Canadian and Ontario Politics']"
76,78,76_therapeutics_httpsappsapplecomappid6740137234_bluestocks_stocks,"['therapeutics', 'httpsappsapplecomappid6740137234', 'bluestocks', 'stocks', 'features', 'right', 'app', 'pharmaceuticals', 'track', 'check']","['The latest posts about Channel Therapeutics (CHRO). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234', 'The latest posts about United Therapeutics (UTHR). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234', 'The latest posts about Y-MABS THERAPEUTICS (YMAB). Spam-filtered and relevant for investors. For all features check out the Bluestocks app to track stocks right from Bluesky: https://apps.apple.com/app/id6740137234']"
77,78,77_fanart_wriggle_fanarts_worldbuilding,"['fanart', 'wriggle', 'fanarts', 'worldbuilding', 'dragons', 'sfw', 'pipin', 'nightbug', 'tendency', 'flowers']","['Just fanart I want to see.', 'See only my fanart!', 'Fanart for me']"
78,77,78_instead_bsky_backup_skylight,"['instead', 'bsky', 'backup', 'skylight', 'twitch', 'fr', 'redgifs', 'httpsbskyappprofilereireidotbskysocialpost3law3gkpimc2z', 'main', 'jimin']","['This is just a backup Blue Sky feed for the game series Animal Crossing, please use the main one instead: https://bsky.app/profile/did:plc:p6lzmwq6lfnrnqn2qrzdrtmh/feed/aaais2omjkes6', 'This is just a backup Blue Sky feed for the game series Splatoon, please use the main one instead: https://bsky.app/profile/did:plc:p6lzmwq6lfnrnqn2qrzdrtmh/feed/aaakb27sdpjko', 'Feed based on: https://bsky.app/profile/did:plc:yetfwmza6srmvqi7cgla5gp4/lists/3lfqhu6zfju27. DM me if you want to update the list.\nFrench Streamers, French Twitch, Twitch FR, Twitch France, FR Twitch, France Twitch, France Stream, Stream Francophone, Streamer Francophone, Streaming FR.']"
79,76,79_law_democrats_legal_democratic,"['law', 'democrats', 'legal', 'democratic', 'house', 'trump', 'senators', 'lawyers', 'warren', 'lawfare']","['A feed for Law Youtubers and Law Nerds.', 'A Legal Tech feed - all things Legal technology, technology in Law Firms, IT related to law firms, general legal technology posts. Picks up common legal tech topics, but to include a post just tag your post with #legaltech or #legalit', 'Latest posts and discussions about Law.']"
80,74,80_baseball_mlb_orioles_team,"['baseball', 'mlb', 'orioles', 'team', 'jays', 'phillies', 'major', 'highlights', 'httpsbluefactsappfeedbuilder', 'player']","['Includes my favorite baseball players and baseball terms.', '#1 Major League Baseball Feed On BlueSky! \r\n\r\nThe Ultimate Source For Major and Minor League Baseball Updates, Highlights, and Fan Moments!', 'Feed about Major League Baseball']"
81,73,81_testing_test_trial_creation,"['testing', 'test', 'trial', 'creation', 'ignore', 'outliers', 'simulating', 'sentry', 'skeeeeeeeeeeeets', 'needteststuff']","['testing', 'testing', 'Testing']"
82,72,82_horror_stranger_byler_chau,"['horror', 'stranger', 'byler', 'chau', 'stagefright', 'jentry', 'buffy', 'horrorlit', 'undead', 'slayer']","['A feed collecting everything Horror related.', 'A feed for horror discussion, horror movies, etc', 'Horror Content']"
83,71,83_test_clients_ordered_3rd,"['test', 'clients', 'ordered', '3rd', 'chronologically', 'blueskyfeedcreatorcom', 'blueskys', 'party', 'blue', 'sky']","[""A chronologically ordered feed that shows all media posted through one of Bluesky's 3rd party clients"", ""A chronologically ordered feed that shows all media posted through one of Bluesky's 3rd party clients"", ""A chronologically ordered feed that shows all media posted through one of Bluesky's 3rd party clients""]"
84,70,84_melbourne_urbanism_scottish_australia,"['melbourne', 'urbanism', 'scottish', 'australia', 'independence', 'diving', 'naarm', 'scotland', 'urbanists', 'sussex']","['A feed about Naarm Melbourne, Australia\n\nUse #Melbourne or #Naarm to have your post captured by the feed', 'Posts about Melbourne, Australia (Naarm)', 'Anything Melbourne (Australia)']"
85,70,85_sims_sim_family_gameplay,"['sims', 'sim', 'family', 'gameplay', 'gen', 'legacy', 'challenge', 'berry', 'generation', 'save']","[""Stay updated with The Sims community's latest news & game updates!"", 'Sims 4 gameplay, sometimes BTS sims and sometimes not~', 'Catch all feed for The Sims / The Sims 4.']"
86,70,86_test_testing_nonmodel_playwright,"['test', 'testing', 'nonmodel', 'playwright', 'rumbleverse', 'purposes', 'graze', 'development', 'internal', 'experimental']","['a test feed', 'feed test 1', 'Test feed 2']"
87,69,87_trending_content_gymnastics_gymnerds,"['trending', 'content', 'gymnastics', 'gymnerds', 'rundisney', 'gymternet', 'from', 'politico', 'roller', 'iconic']","['Trending content from Culture', 'Trending content from your personal network', 'Trending content from WHO']"
88,69,88_san_diego_bay_francisco,"['san', 'diego', 'bay', 'francisco', 'mixture', 'area', 'bridge', 'gap', 'outlets', 'digest']","['The latest posts from a mixture of traditional and new media outlets based or related to New York to help bridge the gap in the news we digest daily.', 'The latest posts from a mixture of traditional and new media outlets based or related to Ohio to help bridge the gap in the news we digest daily.', 'San Francisco Bay Area Feed by baysky.social']"
89,67,89_nba_wnba_highlights_stats,"['nba', 'wnba', 'highlights', 'stats', 'httpsbluefactsappfeedbuilder', 'create', 'basketball', 'own', 'analysis', 'finals']","['NBA Conversation', 'Feed dedicated to images of NBA/WNBA content.', 'This is a feed of all things NBA']"
90,66,90_ocs_oc_main_info,"['ocs', 'oc', 'main', 'info', 'my', 'sheets', 'shenanigans', 'their', 'xiv', 'andor']","['My OCs!', 'My OCs', 'My OCs <3']"
91,66,91_alt_text_image_assassins,"['alt', 'text', 'image', 'assassins', 'creed', 'alttext', 'images', 'vp', 'tool', 'ktm']","['new images with alt text', 'posts with images and no alt text', 'Image with alt text']"
92,65,92_tagged_nonimage_artists_charity,"['tagged', 'nonimage', 'artists', 'charity', 'feathers', 'art', 'listed', 'exclusively', 'velkyart', 'artchat']","['Artists from my main list who primarily or exclusively draw pixel art (just excludes non-image posts from listed users)\n\nIcon by @butterberrycafe.bsky.social', 'Artists from my main list who primarily or exclusively draw fanart (just excludes non-image posts from listed users)', 'A feed of craftivism and artivism posts. Looks for the following terms: \r\ncraftivism, craftivist, artivism, craft activism, art activism, charity knitting, charity crochet, charity craft, charity crafts, charityknitting, charitycrochet, charitycraft, charitycrafts, 🧶🗣️, 🧵🗣️, 🎨🗣️, 🖌️🗣️']"
93,64,93_gtsgrowthesky_looking_feeds_georgia,"['gtsgrowthesky', 'looking', 'feeds', 'georgia', 'virginia', 'other', 'check', 'alabama', 'out', 'at']","['🇬🇪🇪🇺 Georgia Protests | Latest News | Updates\n\n#GeorgiaProtests #terrorinGeorgia  #Georgia #Tbilisi', 'Feed looking for posts about Virginia.\n   GTS=GrowtheSky\nCheck out other VIRGINIA feeds at #GTS-VA\n\n#Virginia', 'Feed looking for posts about Georgia.\nGTS=GrowtheSky\nCheck out other GEORGIA feeds at #GTS-GA\n\n#GeorgiaUS']"
94,63,94_arcane_bigotry_stolen_vander,"['arcane', 'bigotry', 'stolen', 'vander', 'shipping', 'allowed', 'jayce', 'viktor', 'talis', 'bkdk']","['A curated feed for shipping Jayce and Silco from Arcane, also known as Jayco. No AI, stolen work, or bigotry of any kind allowed 🏳️\u200d⚧️🏳️\u200d🌈', 'A curated feed for shipping Vander and Viktor from Arcane, also known as VanVik. No AI, stolen work, or bigotry of any kind allowed 🏳️\u200d⚧️🏳️\u200d🌈', 'A curated feed for shipping Vander and Jayce Talis from Arcane, also known as Hammerhound. No AI, stolen work, or bigotry of any kind allowed 🏳️\u200d⚧️🏳️\u200d🌈']"
95,63,95_covid_health_healthcare_vaccine,"['covid', 'health', 'healthcare', 'vaccine', 'oxygen', 'long', 'evidence', 'guidance', 'ventilation', 'treatment']","['COVID-19，COVID', 'Covid Feed', 'The ultimate long Covid/MECFS feed that provides posts (not replies) based on either:\n\n1) terms and hashtags like ""long Covid"", ""#Covid"", ""MECFS"", ""#MCAS"", and more.\n\nor\n\n2) list of Covid advocates and researchers, obtained by including various Starter Packs.\n\nIn short, a firehose of long Covid info']"
96,62,96_podcast_podcasts_podcasting_podcasters,"['podcast', 'podcasts', 'podcasting', 'podcasters', 'listen', 'episode', 'episodes', 'pivot', 'wagner', 'malevolent']","['posts that include the podcast microphone emoji and the word podcast', ""If you're looking for the latest updates and episodes from the Life at the Sharp End podcast in a single place, you can find them in this feed.\n\nSubscribe to the podcast at your favourite podcast provider, or at priceperrott.com/podcast"", ""Posts with links to podcast sites or 'podcast' in the text""]"
97,61,97_nfl_httpsbluefactsappfeedbuilder_create_highlights,"['nfl', 'httpsbluefactsappfeedbuilder', 'create', 'highlights', 'own', 'bills', 'analysis', 'plays', 'commentary', 'updates']","['Feed of NFL related content\n\n⚡ RobinFeed', ""Feed for everything NFL. Use any team's full name (ex: Tennessee Titans) or use NFL in a post to show up in this feed."", 'Coverage of the NFL showdown between the Miami Dolphins and Buffalo Bills, focusing on game highlights, key plays, and rivalry updates.\n\nCreate your own feed with https://bluefacts.app/feed-builder']"
